PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Aksel Laso;FC Bayern München;A;Point;2006;4;61.1;99.1;101.7;-2.5;-1.5;0.2;-1.3;1.0;0.1;0.0;0.1;0.06;12.1
Johann Helwig;Baskets Juniors Oldenburg;A;Wing;2006;8;192.3;95.5;99.5;-4.0;-0.3;0.7;0.3;2.0;0.1;0.2;0.3;0.07;12.1
Dre Odeh;Bayer Giants Leverkusen;A;Forward;2005;5;96.5;80.2;86.9;-6.8;-2.6;-0.5;-3.1;-0.4;-0.1;0.2;0.1;0.05;11.7
Finn Stuhlmeyer;Baskets Juniors Oldenburg;A;Big;2007;3;7.5;94.7;112.3;-17.6;-5.1;-0.5;-5.6;-0.6;0.0;0.0;0.0;-0.01;11.6
Isayah Marcin;FC Bayern München;A;Combo;2007;2;18.7;99.5;99.3;0.2;-4.4;-0.5;-4.9;-0.5;0.0;0.0;0.0;0.10;11.4
Hendrik Metsa;Medipolis SC Jena;A;Point;2007;3;71.2;86.9;110.7;-23.9;-3.0;-0.6;-3.5;-0.6;-0.1;0.0;-0.1;-0.05;11.3
Till Galler;Team Urspring;A;Point;2007;3;13.6;139.1;102.1;37.0;-4.7;0.3;-4.4;-0.1;0.0;0.0;0.1;0.19;11.1
Leif Zentgraf;Eintracht Frankfurt;A;Wing;2005;2;69.3;98.1;134.9;-36.8;-2.9;-0.9;-3.8;-0.8;0.0;-0.2;-0.2;-0.12;11.0
Ben Lenhardt;Berlin Braves Baskets;A;Wing;2006;3;75.4;71.5;99.4;-27.9;-3.0;0.2;-2.7;-0.1;-0.2;0.1;-0.2;-0.09;10.5
Marko Petric;Young Rasta Dragons;A;Forward;2008;7;169.2;98.8;95.6;3.2;0.6;-1.9;-1.3;0.6;0.2;0.3;0.4;0.11;10.5
Michel Schillmöller;Young Rasta Dragons;A;Point;2007;5;55.5;76.6;82.7;-6.1;-4.0;0.3;-3.7;-0.3;-0.1;0.2;0.1;0.06;10.5
Leo Hylla;Alba Berlin;A;Wing;2006;5;47.3;89.9;96.0;-6.0;-3.3;-0.4;-3.7;-0.2;0.0;0.0;0.1;0.05;10.3
Lukas Mutter;Alba Berlin;A;Point;2007;6;112.1;77.2;90.3;-13.1;-2.2;-0.1;-2.3;0.1;-0.1;0.2;0.0;0.01;10.2
Ben-Luca Port;Baskets Paderborn;A;Forward;2005;3;71.3;74.0;89.1;-15.1;-4.3;-1.0;-5.3;-1.7;-0.1;0.1;0.0;0.00;9.9
John Hubertus Kropp;Berlin Braves Baskets;A;Forward;2005;3;38.6;92.0;110.4;-18.4;-3.7;-0.3;-4.0;-0.3;0.0;0.0;0.0;-0.02;9.9
Paul Viefhues;UBC Münster;A;Combo;2005;2;69.2;69.6;90.3;-20.6;-2.2;0.4;-1.8;0.4;-0.2;0.1;-0.1;-0.04;9.8
