PLAYER;TEAM;DIV;POS;ROLE;BORN;GP;MP;EFG%;TOV%;ORB%;FT-RATE;EF;EF/Gm;PER;WS;WS/40
Titus Schuster;BBA Giants Kornwestheim;B;Combo;Neutral;2005;7;196.9;36.6;19.0;5.3;3.0;26;3.7;9.6;-0.1;-0.02
Eric-Stéphane Nkoué;HAKRO Merlins Crailsheim;B;Forward;Neutral;2007;8;231.6;31.1;28.4;2.9;35.4;49;6.1;9.6;-1.0;-0.17
Mika Ullsperger;Orange Academy;B;Point;Neutral;2007;5;81.2;37.1;22.8;1.3;11.4;11;2.2;9.6;0.0;0.02
Ari von Wiegen;Alba Berlin;A;Forward;Neutral;2008;2;38.6;87.5;50.0;3.1;0.0;10;5.0;9.6;0.1;0.08
Paul Schmorleiz;Alba Berlin;A;Wing;Receiver;2006;11;117.3;40.0;16.1;2.9;40.0;23;2.1;9.6;0.3;0.10
Yaro Stahn;Dresden Titans;B;Wing;Neutral;2006;10;246.9;41.9;16.1;6.7;19.4;38;3.8;9.6;-0.2;-0.03
Samuel Moser;HAKRO Merlins Crailsheim;B;Combo;Receiver;2007;5;88.0;50.0;21.6;1.5;20.0;18;3.6;9.4;0.0;-0.01
Radouan Aberkane;Eisbären Bremerhaven;A;Wing;Creator;2007;9;207.3;39.3;39.2;9.1;26.8;57;6.3;9.3;-0.6;-0.12
Erik Larsen;Sartorius Juniors;B;Combo;Receiver;2005;10;203.6;39.1;14.6;1.1;4.3;37;3.7;9.3;0.5;0.10
Leon Azdajic;BBA Giants Kornwestheim;B;Forward;Receiver;2005;9;158.3;35.9;28.8;7.9;28.1;34;3.8;9.2;-0.1;-0.02
Leo Hylla;Alba Berlin;A;Forward;Receiver;2006;11;185.8;48.8;35.5;7.5;7.5;51;4.6;9.2;0.0;0.00
Noah Schirin-Sokhan;ART Giants Düsseldorf;B;Point;Creator;2005;9;227.1;40.5;21.6;3.0;22.4;38;4.2;9.2;-0.5;-0.08
Nicola Schultze;Alba Berlin;A;Wing;Receiver;2006;13;164.2;31.3;20.7;5.5;22.9;40;3.1;9.1;0.2;0.05
Cheikh Oumar Doucoure;Hamburg Towers;A;Forward;Receiver;2006;12;178.6;34.4;24.9;7.7;33.3;32;2.7;9.1;0.0;-0.01
Jayson Pfannenstiel;Eisbären Bremerhaven;A;Forward;Receiver;2006;12;204.0;48.3;12.6;2.9;24.1;42;3.5;9.1;-0.1;-0.02
Ole Sebastiani;Eisbären Bremerhaven;A;Wing;Neutral;2006;6;89.3;60.0;40.1;2.6;10.0;17;2.8;9.0;-0.2;-0.09
Felix Holzer;KICKZ IBAM;A;Point;Neutral;2006;3;22.2;75.0;41.0;0.0;50.0;4;1.3;8.8;0.0;0.01
Nikolaos Parasidis;BBA Hagen;B;Point;Neutral;2006;3;22.5;41.7;14.3;0.0;0.0;2;0.7;8.8;-0.1;-0.09
Jan Züll;Team Bonn/Rhöndorf;B;Point;Neutral;2006;2;38.2;45.5;37.0;5.2;9.1;7;3.5;8.8;0.0;0.02
Andreas Basonidis;TS Jahn München;B;Point;Creator;2007;4;70.3;29.6;29.9;3.0;29.6;9;2.3;8.7;0.0;-0.01
Selman Yoldas;TG Hanau;B;Forward;Receiver;2006;2;27.2;50.0;25.8;20.5;0.0;5;2.5;8.6;-0.2;-0.25
Leandro Santuario;Orange Academy;B;Point;Neutral;2007;6;39.7;56.3;34.9;0.0;12.5;4;0.7;8.6;0.0;-0.01
Kurt Donath;Dresden Titans;B;Forward;Neutral;2005;6;129.8;33.0;22.3;8.4;2.1;23;3.8;8.6;-0.4;-0.13
Malte Silbermann;Dresden Titans;B;Point;Pure Creator;2006;10;295.3;36.9;36.9;3.4;32.5;53;5.3;8.4;-1.0;-0.14
Alexander Vourliotis;Eisbären Bremerhaven;A;Forward;Neutral;2006;8;169.8;45.6;33.5;6.3;2.2;40;5.0;8.2;-0.4;-0.09
Stergios Augusto;ART Giants Düsseldorf;B;Big;Receiver;2005;4;76.2;35.3;21.4;5.1;5.9;23;5.8;8.2;-0.1;-0.08
Ibrahim Recani;BBA Hagen;B;Forward;Receiver;2007;4;78.1;34.8;20.1;12.9;4.3;14;3.5;8.2;-0.3;-0.14
Nik Fassnacht;HAKRO Merlins Crailsheim;B;Point;Creator;2006;3;84.9;43.5;39.0;5.4;13.0;16;5.3;8.1;-0.2;-0.10
Alexios Kyriakidis;Medipolis SC Jena;A;Forward;Receiver;2006;6;38.0;41.7;21.5;3.1;50.0;7;1.2;8.1;0.1;0.06
Kenny Wefing;Team Südhessen;B;Point;Creator;2006;10;214.9;27.0;19.3;1.5;31.6;21;2.1;8.0;-0.5;-0.09
Leonard Kant;Porsche BBA Ludwigsburg;A;Forward;Receiver;2007;4;32.5;0.0;22.0;3.5;125.0;7;1.8;8.0;-0.1;-0.09
Lukas Vogl;TS Jahn München;B;Combo;Neutral;2007;7;89.5;43.2;19.9;4.7;18.2;7;1.0;8.0;-0.1;-0.02
Max Dick;USC Heidelberg;B;Forward;Receiver;2005;9;188.5;37.7;22.4;3.3;9.2;38;4.2;7.9;-0.2;-0.04
Viktor Block;ART Giants Düsseldorf;B;Forward;Receiver;2007;5;39.3;36.4;22.7;9.3;36.4;7;1.4;7.9;-0.1;-0.10
Matteo Sattler;Bamberg freakcity academy;A;Wing;Receiver;2005;1;10.9;50.0;0.0;0.0;0.0;1;1.0;7.7;0.0;-0.10
Alfons Milatz;Niners Chemnitz Academy;A;Wing;Receiver;2007;7;49.2;50.0;17.0;5.4;25.0;5;0.7;7.7;0.0;-0.04
Sami Lemjimer;Metropol Baskets Ruhr;B;Point;Neutral;2006;1;7.4;0.0;0.0;0.0;0.0;1;1.0;7.6;0.0;0.08
Dominik Dehmer;Rostock Seawolves;B;Combo;Neutral;2007;4;66.3;36.4;33.5;8.7;0.0;13;3.3;7.6;-0.2;-0.13
Erjon Panxhaj;VfL Kirchheim Knights;B;Forward;Neutral;2006;8;38.1;62.5;25.2;0.0;0.0;7;0.9;7.5;0.0;-0.05
Maurice Barthel;Würzburg Baskets Akademie;B;Combo;Neutral;2007;7;70.2;46.7;28.4;3.7;33.3;7;1.0;7.5;-0.1;-0.04
Leander Werner;Niners Chemnitz Academy;A;Point;Receiver;2006;1;28.3;25.0;17.0;0.0;50.0;3;3.0;7.5;0.0;-0.06
Isayah Marcin;FC Bayern München;A;Wing;Neutral;2007;5;45.5;43.8;50.6;0.0;37.5;10;2.0;7.4;-0.2;-0.15
Franz Schallenberg;Team Bonn/Rhöndorf;B;Forward;Receiver;2006;5;70.4;32.1;11.3;4.6;7.1;11;2.2;7.4;0.1;0.06
