PLAYER;TEAM;DIV;POS;BORN;GP;MP;FIC;FIC/Gm;PIE;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%
Carlo Schult;Rostock Seawolves;B;Wing;2006;8;224.6;70.4;8.8;8.6;3.7;9.2;0.8;5.6;1.9;1.6;24.5;60.3
Till Heyne;ROTH Energie BBA GIESSEN 46ers;A;Point;2006;14;452.4;70.0;5.0;6.3;5.8;16.1;0.7;3.9;2.9;0.0;29.1;51.5
Evan Rietsch;USC Heidelberg;B;Wing;2005;9;281.3;69.0;7.7;7.9;5.9;15.6;0.8;9.3;2.7;0.6;23.4;50.7
Tom Brüggemann;Baskets Paderborn;A;Point;2007;10;291.9;68.8;6.9;7.4;11.7;39.4;1.2;6.4;3.0;1.3;23.7;51.4
Emil Bode;Sartorius Juniors;B;Combo;2006;9;233.8;68.8;7.6;7.0;6.8;19.2;1.3;8.1;4.4;0.4;19.6;49.3
Leonhard Laar;Team Urspring;A;Forward;2006;11;250.3;68.4;6.2;7.0;3.4;9.4;0.7;11.3;1.0;1.5;21.5;57.3
Martin Geuther;Medipolis SC Jena;A;Point;2005;13;258.4;68.3;5.3;4.9;11.5;35.9;1.6;7.0;5.9;0.4;17.6;44.2
Pepe Lahr;Team Südhessen;B;Combo;2005;10;199.4;67.6;6.8;9.1;7.0;19.3;0.7;11.3;5.8;0.5;25.1;55.6
Edolind Paqarada;VfL Kirchheim Knights;B;Point;2005;12;312.4;67.6;5.6;6.1;7.4;23.0;1.1;4.5;3.4;0.3;23.1;52.3
Musa Abra;Basketball Löwen Erfurt;B;Point;2006;9;261.0;67.3;7.5;7.8;7.1;18.6;0.9;7.9;3.2;0.3;29.5;49.0
Stephan Jones;USC Heidelberg;B;Big;2006;9;122.7;67.0;7.4;6.9;3.3;8.2;0.4;24.0;4.6;4.2;15.3;60.2
Igor Jokic;Baskets Juniors Oldenburg;A;Combo;2005;7;141.3;67.0;9.6;12.1;3.5;9.5;0.7;8.5;5.8;0.0;33.7;62.6
Jan Trömel;RheinStars Köln;B;Big;2006;10;191.9;66.8;6.7;6.8;4.5;12.9;0.6;16.7;1.4;3.6;17.0;61.7
Niels Dübener;Bayer Giants Leverkusen;A;Wing;2005;11;260.4;66.3;6.0;8.7;7.5;20.8;0.7;9.5;1.8;1.5;14.7;59.7
Paul Levi Urban;Berlin Braves Baskets;B;Wing;2005;11;191.0;66.1;6.0;6.6;8.6;25.3;2.7;10.5;3.6;1.6;15.6;49.1
Volodymyr Yermakov;ART Giants Düsseldorf;B;Forward;2006;8;237.8;66.1;8.3;10.3;3.0;8.1;0.5;10.2;1.7;1.8;28.8;53.8
