PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Meverick Falkenberg;Basketball Löwen Erfurt;B;Forward;2007;7;65.5;54.7;92.2;-37.5;-3.5;-0.4;-4.0;-0.3;-0.2;0.0;-0.1;-0.07;4.0
Jan Jesgarzewski;Eisbären Bremerhaven;A;Forward;2006;7;75.3;60.2;113.6;-53.4;-5.9;-0.7;-6.6;-1.3;-0.2;-0.2;-0.4;-0.23;3.9
Nicolas Deetjen;Team Südhessen;B;Wing;2007;6;85.9;59.9;92.9;-33.0;-2.6;0.0;-2.6;0.1;-0.2;0.1;-0.1;-0.05;3.9
Felix Bolkart;ratiopharm Ulm;B;Combo;2006;5;68.3;64.1;88.0;-23.9;-3.2;0.7;-2.5;0.1;-0.2;0.2;0.0;-0.01;3.9
Tim Rothämel;Medipolis SC Jena;A;Point;2006;5;41.3;71.3;95.0;-23.7;-4.3;-0.1;-4.4;-0.3;-0.1;0.1;0.0;-0.04;3.7
Nevio Kwasny;SG Junior Löwen Braunschweig;B;Wing;2006;5;41.5;72.2;89.2;-17.0;-4.0;-1.1;-5.1;-0.5;0.0;0.1;0.0;0.01;3.6
Saliou Diouf;Phoenix Hagen;B;Forward;2006;9;144.9;48.3;101.6;-53.3;-5.2;1.8;-3.5;-0.5;-0.8;0.1;-0.7;-0.20;3.5
Robin Mingaz;BBA Hagen;B;Combo;2005;1;25.6;55.1;110.8;-55.7;-4.5;-0.3;-4.8;-0.4;-0.2;0.0;-0.2;-0.31;3.3
Justus Knapp;Würzburg Baskets Akademie;B;Wing;2005;5;32.2;70.9;97.6;-26.7;-4.1;0.1;-4.0;-0.1;0.0;0.0;0.0;-0.02;3.3
Luke-Johan Kiraly;Basketball Löwen Erfurt;B;Wing;2007;10;131.0;61.0;96.5;-35.4;-4.7;-2.1;-6.8;-1.8;-0.4;-0.1;-0.4;-0.13;3.3
Max Riedel;Alba Berlin;A;Combo;2006;5;42.9;58.1;82.6;-24.4;-4.4;-0.4;-4.8;-0.4;-0.2;0.1;0.0;-0.05;3.2
Elias Bittel;Würzburg Baskets Akademie;B;Point;2007;10;164.3;66.7;101.0;-34.2;-4.1;0.0;-4.1;-0.9;-0.3;-0.1;-0.4;-0.09;3.1
