PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Stanislav Hinkov;Porsche BBA Ludwigsburg;A;Wing;2006;3;64.2;14;7;3;2;1;4;6;10;0;0
Finn Schwaiger;Medipolis SC Jena;A;Point;2005;3;68.6;13;4;17;0;0;8;5;9;0;0
Leo Hylla;Alba Berlin;A;Wing;2006;5;47.3;12;6;3;1;0;2;7;13;0;0
Paul Schmorleiz;Alba Berlin;A;Big;2006;4;26.3;12;7;1;2;2;3;2;16;0;0
Max Emil Weber;Baskets Paderborn;A;Forward;2006;3;39.4;12;3;1;1;1;0;4;12;0;0
Callum Macaulay;Team Urspring;A;Combo;2006;4;88.1;12;6;7;4;0;9;12;1;0;0
Marvin Eßer;Eintracht Frankfurt;A;Forward;2005;2;45.9;12;4;1;2;1;0;5;18;0;0
Joshua Sievers;UBC Münster;A;Forward;2005;3;65.1;12;14;5;0;0;5;4;15;0;0
Djairo Bernardina;Young Rasta Dragons;A;Wing;2007;7;66.8;12;5;3;1;0;7;13;0;0;0
Jannis Grußendorf;FC Bayern München;A;Combo;2005;3;53.9;11;2;3;2;2;1;12;9;0;0
Eduard Rantz;FC Bayern München;A;Big;2007;2;17.3;10;9;0;0;1;1;4;17;0;0
Edwin Krzeminski;Niners Chemnitz Academy;A;Combo;2005;2;45.3;10;9;12;1;0;5;4;22;0;0
Lukas Wiegeler;UBC Münster;A;Combo;2007;3;27.3;10;2;2;0;0;3;3;6;0;0
Aksel Laso;FC Bayern München;A;Point;2006;4;61.1;10;3;12;3;0;5;6;16;0;0
Jakub Klobusiak;Niners Chemnitz Academy;A;Forward;2005;2;46.3;10;8;1;0;0;4;3;10;0;0
Lukas Klein;Bayer Giants Leverkusen;A;Big;2008;2;27.0;9;10;0;1;0;0;2;17;0;0
John Hubertus Kropp;Berlin Braves Baskets;A;Forward;2005;3;38.6;9;5;1;0;1;3;2;9;0;0
Tim-Felix Bühren;Young Rasta Dragons;A;Wing;2005;4;30.4;9;1;0;0;0;2;4;5;0;0
Alen Blakaj;Young Rasta Dragons;A;Wing;2007;4;44.0;9;4;2;1;2;3;5;3;0;0
Joscha Zentgraf;Eintracht Frankfurt;A;Forward;2005;2;40.6;8;11;5;1;0;2;9;17;0;0
Caspar Chima Okoro;KICKZ IBAM;A;Forward;2006;4;68.6;8;10;4;2;2;4;12;10;0;0
Muhamad-Adel Soumare Medford;UBC Münster;A;Forward;2006;2;30.1;8;5;1;1;0;5;4;7;0;0
Namori Omog;Eintracht Frankfurt;A;Wing;2006;2;58.7;8;6;2;1;0;2;2;-4;0;0
Leander Werner;Niners Chemnitz Academy;A;Combo;2006;2;15.4;7;1;1;0;0;0;1;7;0;0
Daniel Hinkov;Porsche BBA Ludwigsburg;A;Forward;2007;1;12.4;7;4;1;0;0;1;1;7;0;0
