Name;Team;PER
Liam Gföllner;Alba Berlin;4.3
Koray Grenz;FC Bayern München;3.7
Alexios Kyriakidis;Medipolis SC Jena;3.4
Julius Lehmann;Niners Chemnitz Academy;1.7
Ruben Köster;Baskets Juniors Oldenburg;1.6
Vaclav Nosek;Team Urspring;1.5
Niklas Zwanziger;Bamberg freakcity academy;1.3
Tim Rothämel;Medipolis SC Jena;0.9
#4Bremerhaven;Eisbären Bremerhaven;0.0
Nikola Pecanac;FC Bayern München;0.0
Jonathan Deutsch;Niners Chemnitz Academy;0.0
Lars Schröder;Baskets Juniors Oldenburg;0.0
Henry Hollander;Eisbären Bremerhaven;0.0
Armin Nahreyni;Bayer Giants Leverkusen;-0.4
Matteo Schultz;Medipolis SC Jena;-0.8
Martin Kalu;FC Bayern München;-0.8
Felix Holzer;KICKZ IBAM;-2.3
Laurens Rieping;UBC Münster;-3.1
Jonte Elias Heßling;Eisbären Bremerhaven;-3.5
Thai Bui;Niners Chemnitz Academy;-5.2
#5 Bamberg;Bamberg freakcity academy;-5.3
Noah Asamoah;Alba Berlin;-5.8
#10 Giessen;ROTH Energie BBA GIESSEN 46ers;-5.9
Pedja Labus;Bayer Giants Leverkusen;-7.0
Henning Rosemeyer;Young Rasta Dragons;-7.7
Felix Egger;Bamberg freakcity academy;-9.1
Ben Reinhardt;Medipolis SC Jena;-10.8
Fabian Kayser;Baskets Paderborn;-11.2
Timon Gotsis;KICKZ IBAM;-11.2
Robin Kurr;FC Bayern München;-11.4
Domenico-Germaine Hansmeier;Baskets Paderborn;-12.4
Aaron Rehberger;Young Rasta Dragons;-13.4
#9Alba;Alba Berlin;-13.8
Moritz Renner;KICKZ IBAM;-14.7
Maximilian Eichbaum;Bamberg freakcity academy;-14.7
Ben Hebling;KICKZ IBAM;-16.7
Leon Martinez;KICKZ IBAM;-17.9
Schilo Kabongo;Bayer Giants Leverkusen;-18.0
Seny Thiaw;Bayer Giants Leverkusen;-18.8
Jericho Richter;Eisbären Bremerhaven;-19.8
Julijo Kendes;Team Urspring;-19.9
Jonatan Kunze;Niners Chemnitz Academy;-20.1
Tim Sauer;Bamberg freakcity academy;-21.0
Kilian Walter;Bamberg freakcity academy;-24.2
Kaloyan Iskrenov Lozanov;Team Urspring;-25.7
Leonard Kant;Porsche BBA Ludwigsburg;-27.7
Niklas Schulz;Medipolis SC Jena;-27.8
Leo Kirchhoff;UBC Münster;-37.6
Leon Schneider;Bamberg freakcity academy;-37.6
Ole Schwering;UBC Münster;-39.8
Caspar Chima Okoro;KICKZ IBAM;-44.1
Julian Eugene Glenewinkel;FC Bayern München;-46.0
Daniel Christian Selck;Hamburg Towers;-48.5
Lukas Schütz;Porsche BBA Ludwigsburg;-54.9
Sheriff-Mustapha Jameh;Eisbären Bremerhaven;-56.4
Christopher Wahren;Niners Chemnitz Academy;-63.0
David Galusic;FC Bayern München;-84.4
Frederik Selzer;Bayer Giants Leverkusen;-114.5
Noah Liem;UBC Münster;-190.5
Gido Nanninga;Baskets Juniors Oldenburg;-215.2
Ikechukwu Nicodemus Onyekwere;KICKZ IBAM;-256.4
Gregor Gewinner;Baskets Juniors Oldenburg;-527.7
