PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Niels Dübener;Bayer Giants Leverkusen;A;Wing;2005;3;12.7;2.0;2.0;0.3;0.7;0.0;1.0;0.3;1.7;6.1;1.4
Caspar Chima Okoro;KICKZ IBAM;A;Forward;2006;4;17.2;2.0;2.5;1.0;0.5;0.5;1.0;3.0;2.5;5.2;-1.6
Colin Hartig;Niners Chemnitz Academy;A;Wing;2005;2;15.1;2.0;1.0;0.0;0.5;0.0;0.0;1.0;2.5;7.2;1.1
Timon Hoffmann;Baskets Paderborn;A;Forward;2006;3;12.7;2.0;1.7;0.3;0.0;0.3;0.7;2.0;1.7;3.4;-1.0
Jamie Camron Edoka;Eintracht Frankfurt;A;Point;2008;1;24.8;2.0;3.0;3.0;1.0;0.0;1.0;3.0;2.0;3.3;-1.8
Leopold Schmidt;Medipolis SC Jena;A;Forward;2007;3;14.9;2.0;2.0;0.0;0.3;0.0;1.0;3.3;0.3;-3.7;-3.4
Daniel Riedrich;KICKZ IBAM;A;Forward;2005;4;15.7;1.8;3.5;0.8;0.3;0.0;0.5;1.0;2.8;5.8;1.6
Djairo Bernardina;Young Rasta Dragons;A;Wing;2007;7;9.5;1.7;0.7;0.4;0.1;0.0;1.0;1.9;0.0;-2.7;-2.2
Darijo Kopilovic;Berlin Braves Baskets;A;Combo;2007;3;14.4;1.7;1.3;0.7;1.0;0.0;1.3;1.3;1.7;3.4;0.3
Paul Schmidt;Tornados Franken;A;Combo;2006;3;5.0;1.7;0.0;0.0;0.3;0.0;0.0;0.7;2.0;20.3;1.3
Gregor Gewinner;Baskets Juniors Oldenburg;A;Point;2007;2;1.7;1.5;0.5;0.0;0.5;0.0;0.5;0.5;1.5;48.7;1.8
Paul Manuel Raabe;Alba Berlin;A;Wing;2006;5;5.4;1.4;0.4;0.6;0.2;0.0;0.8;2.4;0.6;-0.5;-2.2
Teis Hümmels;Sartorius Juniors;A;Big;2005;3;7.7;1.3;1.0;0.3;0.0;0.7;0.3;1.3;2.0;8.5;0.2
Luca May;Medipolis SC Jena;A;Forward;2006;3;14.2;1.3;1.3;0.0;0.0;0.0;1.0;1.0;-0.7;-5.6;-1.7
Leonard Dertmann;UBC Münster;A;Big;2007;3;9.2;1.3;2.3;0.3;0.0;0.3;1.3;0.7;2.7;6.6;1.7
Gunnar Wanninger;KICKZ IBAM;A;Forward;2006;3;6.1;1.3;1.0;0.0;0.0;0.0;0.7;1.0;1.0;4.8;-0.4
Finn Stuhlmeyer;Baskets Juniors Oldenburg;A;Big;2007;3;2.5;1.0;1.3;0.0;0.0;0.0;0.3;1.0;1.0;11.6;-0.4
Max Riedel;Alba Berlin;A;Point;2006;2;2.8;1.0;0.0;0.0;1.0;0.0;0.5;0.0;1.0;22.3;0.9
Rephael Edward;Eintracht Frankfurt;A;Big;2007;2;5.7;1.0;2.5;0.0;0.0;0.5;0.5;1.0;3.0;18.6;1.2
Alexios Kyriakidis;Medipolis SC Jena;A;Forward;2006;2;3.4;1.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;-3.2;-1.0
Namik Muratovic;FC Bayern München;A;Big;2008;2;4.1;1.0;1.5;0.0;0.0;0.5;2.5;1.5;-0.5;-25.5;-2.7
Johannes Hellmann;Young Rasta Dragons;A;Wing;2006;7;6.1;0.9;1.0;0.3;0.1;0.0;0.1;0.3;1.1;8.1;0.7
Elias Nold;Baskets Juniors Oldenburg;A;Point;2005;7;8.3;0.9;0.4;0.7;0.6;0.1;0.6;0.9;1.1;6.5;0.1
Daniel Obehi Mack;Porsche BBA Ludwigsburg;A;Big;2005;3;1.5;0.7;0.3;0.0;0.0;0.3;0.0;0.0;1.3;42.4;0.9
Finn Paris;Baskets Paderborn;A;Point;2006;3;6.5;0.7;0.0;0.7;0.0;0.0;1.3;1.3;-0.3;-7.8;-1.7
