PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Amon Levi Dörries;Alba Berlin;A;Forward;2006;11;27.3;14.5;5.2;1.5;1.5;0.4;3.9;2.2;11.5;22.2;9.6
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;Forward;2005;9;23.0;14.4;6.3;1.8;2.8;1.0;1.8;2.9;19.9;46.3;14.0
Nil Failenschmid Clavera;VfL Kirchheim Knights;B;Big;2005;11;31.3;14.3;11.2;3.3;0.8;1.8;2.2;2.2;24.2;37.4;19.0
Leif Zentgraf;Eintracht Frankfurt;B;Forward;2005;11;28.8;14.3;6.5;2.2;1.7;0.4;1.5;2.4;16.2;31.5;14.7
Jared Grey;Team Urspring;A;Wing;2005;12;27.0;14.3;5.7;3.1;2.1;0.3;2.9;2.3;14.9;32.0;11.8
Luca Förster;Basketball Löwen Erfurt;B;Combo;2007;9;22.5;14.2;2.9;1.1;2.2;0.1;2.9;1.8;10.1;26.1;6.9
Leon Anbinder;Baskets Paderborn;A;Combo;2005;12;26.1;14.2;3.5;3.8;2.3;0.1;3.7;3.8;13.9;28.4;10.0
Jakob Lang;Medipolis SC Jena;A;Big;2005;14;22.3;14.1;6.2;1.1;1.2;0.8;2.1;2.5;15.0;33.7;10.3
Stanislav Hinkov;Porsche BBA Ludwigsburg;A;Combo;2006;3;24.0;14.0;4.0;2.3;1.7;0.0;3.0;2.7;11.0;26.3;6.7
Anton Meyer;Eisbären Bremerhaven;A;Combo;2005;13;33.9;13.9;5.2;4.1;2.5;0.0;5.0;2.2;10.1;15.8;7.2
Ols Bauer;Rostock Seawolves;B;Combo;2005;9;28.0;13.9;3.6;3.1;1.0;0.0;2.8;2.2;10.6;22.5;6.9
Jannis Grußendorf;FC Bayern München;A;Wing;2005;7;23.6;13.9;4.7;2.7;2.3;0.3;1.6;1.7;14.4;35.8;12.3
Joshua Kreilein;USC Heidelberg;B;Combo;2005;9;22.2;13.8;2.1;1.3;1.0;0.0;2.4;3.0;6.6;21.0;3.2
Linus Trettin;Young Rasta Dragons;A;Forward;2005;10;26.6;13.7;6.7;2.5;1.8;0.5;2.0;2.0;17.5;36.5;14.8
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;A;Wing;2005;13;29.3;13.7;3.8;1.3;2.1;0.2;2.1;3.4;9.5;21.5;5.2
Hendrik Metsa;Medipolis SC Jena;A;Combo;2007;12;22.8;13.5;2.3;2.7;1.2;0.2;2.7;2.0;12.8;32.2;9.4
Oliver Kullamäe;Orange Academy;B;Point;2007;8;30.7;13.4;3.5;6.8;3.3;0.1;4.8;1.8;14.3;26.5;14.7
Jannis Rümer;Bamberg freakcity academy;A;Wing;2005;11;26.4;13.4;4.9;1.6;0.9;0.2;1.5;1.4;11.5;26.3;8.2
Valentin Frederik Konstantinov;TG Hanau;B;Forward;2005;6;30.5;13.3;8.7;1.8;1.2;0.3;2.5;2.8;15.8;27.1;13.2
Joel Cwik;ratiopharm Ulm;B;Combo;2006;6;20.1;13.2;1.7;2.2;1.3;0.2;2.3;1.2;11.0;35.9;8.4
Jannis Ridder;Baskets Paderborn;A;Forward;2005;14;30.7;13.1;5.7;2.0;2.1;0.5;3.0;2.9;14.7;24.1;10.7
Jervis Scheffs;ratiopharm Ulm;B;Combo;2007;5;24.0;13.0;4.0;2.6;1.4;0.0;2.2;1.0;12.0;29.3;8.9
Desmond Yiamu;FC Bayern München;A;Big;2006;11;22.2;13.0;7.0;0.6;1.7;0.5;1.8;3.2;18.6;42.1;13.5
Miles David De Koning;Sartorius Juniors;B;Combo;2005;9;26.8;12.9;3.3;3.4;1.3;0.0;2.3;1.7;10.2;22.6;7.3
Benedict Baumgarth;Metropol Baskets Ruhr;B;Forward;2006;8;24.5;12.8;6.3;1.4;0.9;1.3;2.1;2.6;14.9;30.4;9.7
Benjamin Koppke;Niners Chemnitz Academy;A;Forward;2005;11;28.3;12.7;7.4;0.5;0.9;0.0;2.4;3.2;11.7;23.2;7.4
Ben Lenhardt;Berlin Braves Baskets;B;Point;2006;13;25.4;12.5;3.1;2.5;2.8;0.0;1.9;1.2;11.8;28.2;10.7
Karl Bühner;Young Rasta Dragons;A;Big;2005;13;25.4;12.5;8.3;1.8;2.2;0.9;2.8;2.4;16.0;32.8;11.9
Luka Pesic;FC Bayern München;A;Combo;2005;7;26.9;12.4;1.9;2.0;0.7;0.0;2.1;2.1;7.7;20.2;4.5
Vincent Dahms;ART Giants Düsseldorf;B;Combo;2005;8;30.9;12.4;2.9;1.0;1.9;0.0;1.9;2.6;8.3;18.5;6.0
Josia Gentischer;BBA Giants Kornwestheim;B;Wing;2006;6;28.5;12.3;2.8;1.8;0.8;0.5;3.0;1.7;6.8;17.0;4.5
Valon Krasniqi;RheinStars Köln;B;Point;2005;10;26.4;12.2;2.3;4.6;1.7;0.0;1.7;1.1;12.7;30.7;11.2
Noé Bom;Hamburg Towers;A;Combo;2006;10;28.2;12.2;4.9;2.9;2.7;0.1;3.3;1.7;10.7;23.5;9.6
Luka Petronic;Metropol Baskets Ruhr;B;Point;2005;8;22.9;12.1;3.5;5.0;3.0;0.1;4.0;2.9;13.6;30.7;9.5
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;A;Forward;2008;1;22.2;12.0;3.0;1.0;2.0;1.0;0.0;4.0;14.0;43.7;12.9
Viktor Lukic-Gavric;Baskets Juniors Oldenburg;A;Point;2005;1;29.3;12.0;4.0;6.0;3.0;0.0;5.0;4.0;6.0;13.3;1.5
Eren Yildiz;TG Hanau;B;Point;2006;3;28.5;12.0;1.7;3.3;1.0;0.3;5.3;1.3;5.0;14.1;3.7
Endurance Aiyamenkhue;Orange Academy;B;Big;2007;9;25.0;11.9;11.1;1.0;0.2;4.9;2.0;2.7;20.6;39.9;15.9
Miran Evin;Baskets Juniors Oldenburg;A;Combo;2006;13;26.6;11.8;3.5;2.7;0.8;0.1;2.3;2.5;9.9;21.7;7.7
Mika Tangermann;Hamburg Towers;A;Big;2005;10;24.4;11.8;8.7;0.7;0.7;0.7;1.8;2.6;18.3;37.5;16.4
Ivan Volf;FC Bayern München;A;Wing;2006;4;31.3;11.8;6.0;4.0;2.5;0.8;2.5;2.0;13.5;23.3;9.2
