PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Neo Krizanovic;Bamberg freakcity academy;A;Combo;2006;9;255.9;90;26;20;11;1;34;30;41;0;0
Jeremie Okitasumbu;TG Hanau;B;Big;2006;8;259.2;90;64;9;5;13;30;22;91;2;0
Yannis Steger;Bayer Giants Leverkusen;A;Big;2005;14;250.9;89;63;6;15;19;22;37;135;0;0
Julis Baumer;Porsche BBA Ludwigsburg;A;Combo;2007;13;324.6;89;46;36;22;9;33;27;125;0;0
Bennett Spree;Baskets Juniors Oldenburg;A;Combo;2006;12;228.8;89;21;14;16;0;20;29;78;0;0
Raul Dumnici;Tornados Franken;B;Wing;2007;13;253.0;88;43;17;13;3;22;8;86;0;0
Julius Hoffmann;USC Heidelberg;B;Combo;2005;9;247.0;88;41;25;21;1;25;18;94;0;0
Isiah Cade;Team Südhessen;B;Combo;2006;10;240.2;88;23;17;18;0;21;29;64;0;0
Hannes Kreft;HAKRO Merlins Crailsheim;B;Combo;2006;10;305.1;88;34;19;11;0;32;20;60;0;0
Luka Pesic;FC Bayern München;A;Combo;2005;7;188.0;87;13;14;5;0;15;15;54;0;0
Leonard Jan Gausa;Hamburg Towers;A;Forward;2005;13;244.5;87;31;6;8;3;17;21;65;0;0
Linus Ruf;Alba Berlin;A;Big;2005;6;130.6;87;58;10;7;2;15;12;113;2;0
Jefferson Hey;Basketball Löwen Erfurt;B;Combo;2005;10;246.3;87;27;27;13;2;30;30;55;0;0
David Sann;ROTH Energie BBA GIESSEN 46ers;A;Combo;2005;11;264.5;87;12;21;7;0;32;28;18;0;0
Jordan Müller;ratiopharm Ulm;B;Point;2006;10;229.4;86;14;42;18;3;21;18;89;0;0
Tobias Holbach;ratiopharm Ulm;B;Big;2005;10;243.1;85;104;20;12;19;14;22;194;2;0
Malte Silbermann;Dresden Titans;B;Point;2006;10;295.3;85;42;38;18;3;59;28;53;0;0
Jonas Creutz;Dresden Titans;B;Combo;2005;9;227.5;85;32;12;10;0;28;23;60;0;0
Jalen Gabriel Moon;SG Junior Löwen Braunschweig;B;Combo;2006;10;243.4;85;18;9;14;0;24;15;58;0;0
Fynn Lastring;Metropol Baskets Ruhr;B;Forward;2007;8;195.1;85;53;15;5;12;16;15;108;1;0
Lazar Klaric;Baskets Juniors Oldenburg;A;Forward;2006;10;184.7;83;68;26;15;3;12;42;125;1;0
Maximilian Waimann;Metropol Baskets Ruhr;B;Point;2007;8;190.3;83;8;20;11;0;12;17;76;0;0
Jonathan Gerlinger;BBA Giants Kornwestheim;B;Big;2005;8;189.4;83;84;7;6;6;13;17;145;4;0
Jonas Zilinskas;ratiopharm Ulm;B;Forward;2006;9;212.4;82;66;22;10;9;16;22;122;1;0
Johannes Hellmann;Young Rasta Dragons;A;Wing;2006;13;203.8;82;25;5;14;1;12;10;80;0;0
Emanuel Mpacko;Berlin Braves Baskets;B;Wing;2005;8;159.9;82;24;14;15;3;12;17;89;0;0
Matteo Petters;FC Bayern München;A;Big;2006;11;249.9;81;66;12;12;12;19;26;129;1;0
Valentin Frederik Konstantinov;TG Hanau;B;Forward;2005;6;182.8;80;52;11;7;2;15;17;95;1;0
Stefan Bogdan;ART Giants Düsseldorf;B;Forward;2005;5;130.0;80;35;15;9;4;11;11;93;1;0
Ognjen Cocic;KICKZ IBAM;A;Wing;2005;12;209.4;80;41;12;11;3;11;12;77;0;0
Tim Nocke;Baskets Juniors Oldenburg;A;Forward;2005;9;185.6;80;60;3;9;2;17;21;76;0;0
Eric-Stéphane Nkoué;HAKRO Merlins Crailsheim;B;Forward;2007;8;231.6;80;48;15;17;8;41;16;49;0;0
Niels Dübener;Bayer Giants Leverkusen;A;Wing;2005;11;260.4;79;47;21;10;4;29;17;100;0;0
Joel Cwik;ratiopharm Ulm;B;Combo;2006;6;120.4;79;10;13;8;1;14;7;66;0;0
Jakub Ševčík;HAKRO Merlins Crailsheim;B;Combo;2007;5;139.9;79;4;7;10;0;26;13;28;0;0
Joshua Bonga;Young Rasta Dragons;A;Point;2005;5;138.0;78;17;18;9;0;24;15;62;0;0
Malte Schröder;Metropol Baskets Ruhr;B;Wing;2005;8;164.1;77;25;6;11;5;16;16;74;0;0
Clemens Weinmar;Dresden Titans;B;Big;2005;8;217.9;77;66;9;4;17;21;14;97;2;0
Edin Redzepovic;Sartorius Juniors;B;Combo;2007;10;176.7;76;19;11;11;2;27;15;62;0;0
Alois Mounier;VfL Kirchheim Knights;B;Combo;2005;13;317.8;76;29;28;11;1;16;21;73;0;0
John Hubertus Kropp;Berlin Braves Baskets;B;Forward;2005;13;220.4;75;69;19;5;1;19;12;106;1;0
Danis Salkovic;TG Hanau;B;Wing;2005;9;193.4;75;21;11;3;0;19;18;41;0;0
Jordan Iloanya;Phoenix Hagen;B;Forward;2005;4;119.0;75;29;7;4;1;20;3;38;2;0
Colin Schuler;USC Heidelberg;B;Wing;2005;10;182.0;75;19;10;6;1;7;15;66;0;0
Justus Waller;Hamburg Towers;A;Combo;2005;13;296.9;75;34;17;19;1;20;26;62;0;0
Noah Okpara;RheinStars Köln;B;Combo;2005;10;162.4;74;18;16;5;0;15;19;64;0;0
Josia Gentischer;BBA Giants Kornwestheim;B;Wing;2006;6;171.2;74;17;11;5;3;18;10;41;0;0
Philip Schneck;Team Urspring;A;Point;2005;12;272.3;73;32;37;22;1;33;37;67;0;0
Daniel Biel;Medipolis SC Jena;A;Forward;2007;7;118.3;73;32;3;8;2;14;4;81;0;0
Jan Trömel;RheinStars Köln;B;Big;2006;10;191.9;73;57;10;5;7;16;30;111;2;0
Theo Sigmund;USC Heidelberg;B;Big;2006;10;244.7;72;78;6;12;4;24;22;104;2;0
Martin Geuther;Medipolis SC Jena;A;Point;2005;13;258.4;72;31;43;31;1;27;25;97;0;0
Pablo Estelle;Team Urspring;A;Forward;2007;13;253.7;72;71;14;14;5;18;35;109;2;0
Philipp Roos;KICKZ IBAM;A;Forward;2005;10;206.5;71;42;6;5;3;15;31;78;1;0
Paul Bahn;Alba Berlin;A;Combo;2006;8;165.6;70;21;15;12;0;18;13;52;0;0
Finn Feldheim;TS Jahn München;B;Big;2005;8;182.8;70;48;5;7;4;17;26;93;1;0
Paul Zaschel;Team Südhessen;B;Forward;2005;10;300.7;69;36;15;15;7;19;32;72;0;0
Leonardo Alfonso Benitez Arocha;Dresden Titans;B;Point;2008;9;153.4;69;16;18;9;1;24;29;56;0;0
Phil Härtl;Phoenix Hagen;B;Forward;2007;9;187.1;69;39;6;5;2;17;15;65;0;0
Joscha Zentgraf;Eintracht Frankfurt;B;Forward;2005;9;212.4;69;57;18;13;0;15;22;87;0;0
Daron Khoranian;ART Giants Düsseldorf;B;Combo;2006;9;267.4;69;36;34;8;2;27;26;51;0;0
Fynn Thure Benzel;Medipolis SC Jena;A;Forward;2005;12;198.1;69;55;17;11;0;26;21;88;0;0
Nicolas Pritz;Team Bonn/Rhöndorf;B;Wing;2006;12;211.3;68;33;8;11;2;24;26;53;0;0
Epke Kruthaup;Young Rasta Dragons;A;Point;2008;10;218.3;68;13;22;10;0;25;21;35;0;0
Mathéo Hermann;Alba Berlin;A;Wing;2007;9;160.3;67;32;10;6;2;19;17;56;0;0
Ernst Möller;Basketball Löwen Erfurt;B;Combo;2007;11;218.7;67;48;29;14;0;31;11;81;1;0
Stefan Radic;TS Jahn München;B;Big;2005;9;200.6;66;74;1;9;6;17;21;100;2;0
Lenny Dittmar;Basketball Löwen Erfurt;B;Forward;2007;8;218.7;66;45;16;10;6;19;19;76;1;0
Kenny Wefing;Team Südhessen;B;Point;2006;10;214.9;65;14;27;10;0;22;23;21;0;0
Dre Odeh;Bayer Giants Leverkusen;A;Forward;2005;10;193.1;65;53;12;23;8;21;38;67;0;0
Jervis Scheffs;ratiopharm Ulm;B;Combo;2007;5;120.0;65;20;13;7;0;11;5;60;0;0
Jarne Jürgens;Young Rasta Dragons;A;Forward;2005;11;226.5;65;41;7;4;11;7;25;83;0;0
Michel Schillmöller;Young Rasta Dragons;A;Point;2007;7;148.2;64;9;14;9;0;15;11;54;0;0
Yaro Stahn;Dresden Titans;B;Wing;2006;10;246.9;64;27;6;3;2;14;19;38;0;0
Max Emil Weber;Baskets Paderborn;A;Forward;2006;10;191.6;64;26;4;7;2;7;13;58;0;0
Finn Drescher;Phoenix Hagen;B;Combo;2007;8;148.7;64;15;8;3;1;15;14;29;0;0
Niklas Müller;Tornados Franken;B;Combo;2006;13;193.1;63;20;12;5;1;10;10;40;0;0
Wendland Noah;Würzburg Baskets Akademie;B;Point;2007;6;161.2;63;13;14;8;1;28;15;45;0;0
Ben Kessler;Team Südhessen;B;Forward;2006;9;162.4;63;30;4;14;3;6;17;56;0;0
Darijo Kopilovic;Berlin Braves Baskets;B;Wing;2007;12;136.9;63;29;10;12;1;8;14;68;0;0
Paul Levi Urban;Berlin Braves Baskets;B;Wing;2005;11;191.0;62;37;19;14;3;7;16;92;0;0
Simon Zieger;Team Bonn/Rhöndorf;B;Forward;2005;11;204.8;62;41;5;3;1;15;28;72;0;0
Jonas Pohle;Bayer Giants Leverkusen;A;Wing;2007;12;171.1;62;18;4;8;1;25;21;33;0;0
Aron Kretschmann;Rostock Seawolves;B;Wing;2007;9;178.8;62;18;5;5;1;23;25;16;0;0
Clemens Sokolov;Tornados Franken;B;Forward;2007;11;246.9;62;42;6;7;10;15;23;74;0;0
Paul Göpffahrt;TS Jahn München;B;Forward;2005;9;162.4;61;42;11;4;3;11;17;71;0;0
Henrik Besch;Berlin Braves Baskets;B;Forward;2005;10;177.7;61;34;6;4;3;10;12;59;0;0
Marino Quandt Sorribes;Rostock Seawolves;B;Forward;2006;8;211.7;60;52;17;8;1;16;21;89;1;0
Leonar Fliege;Basketball Löwen Erfurt;B;Forward;2007;10;254.1;60;65;15;10;19;21;26;114;2;0
Noah Schirin-Sokhan;ART Giants Düsseldorf;B;Point;2005;9;227.1;60;15;22;3;0;18;28;38;0;0
Milio-Leandro Stein;SG Junior Löwen Braunschweig;B;Point;2005;6;141.1;60;9;7;14;1;5;15;69;0;0
Edwin Krzeminski;Niners Chemnitz Academy;A;Combo;2005;12;224.8;60;31;25;9;1;21;28;66;0;0
Radouan Aberkane;Eisbären Bremerhaven;A;Wing;2007;9;207.3;59;42;22;13;1;41;30;57;0;0
Richard Schmitt;Alba Berlin;A;Wing;2007;8;169.1;59;25;13;4;0;15;14;57;0;0
Luis Ohrmann;BBA Hagen;B;Combo;2008;6;169.2;59;18;16;4;3;24;17;42;0;0
Yannick Mogalle;Bamberg freakcity academy;A;Forward;2006;11;183.2;58;33;10;8;7;13;20;67;0;0
Tobias Drochner;Tornados Franken;B;Combo;2005;13;183.9;58;23;12;4;0;13;12;42;0;0
Luca May;Medipolis SC Jena;A;Wing;2006;12;239.7;58;28;11;8;2;17;26;56;0;0
Aksel Laso;FC Bayern München;A;Point;2006;10;232.5;58;20;35;15;0;28;18;63;0;0
Samuel Kurr;BBA Giants Kornwestheim;B;Point;2006;10;220.9;57;24;27;17;2;41;17;55;0;0
Erik Larsen;Sartorius Juniors;B;Combo;2005;10;203.6;57;12;23;5;0;12;28;37;0;0
Marko Petric;Young Rasta Dragons;A;Wing;2008;8;161.4;56;13;10;5;1;20;14;27;0;0
Guillaume Charles Pietro Schoentgen;ratiopharm Ulm;B;Forward;2006;7;118.6;56;22;6;4;2;10;15;47;0;0
Julius Gebauer;Phoenix Hagen;B;Combo;2007;9;131.7;56;16;11;3;1;17;12;42;0;0
